公園コード,公園名,区名,地番又は住所,種別,最終開設面積（ha）,緯度,経度
2001022,グリーンタウン公園,岩槻区,本丸４丁目488-26,街区,0.29,35.955985322222226,139.71090044166667
2031010,浮谷神社こども広場,岩槻区,大字浮谷１５３,子供,0.01,35.92765161944444,139.710931725
2001027,深町公園,岩槻区,大字南平野576-4,街区,0.02,35.96019,139.71218
2001004,うぐいす児童公園,岩槻区,東岩槻５丁目12,街区,0.17,35.960486888888894,139.71264738055555
2001034,南平野第一公園,岩槻区,南平野1丁目32,街区,0.2,35.95789717777778,139.71290441666665
2001021,東急団地公園,岩槻区,府内２丁目923-6,街区,0.27,35.94483,139.71296
1901080,美園１丁目第一公園,緑区,美園1丁目4,街区,0.2,35.908536375,139.71344192777778
1903001,大崎公園,緑区,大字大崎3156-1,地区,4.8,35.884165,139.714057
2001035,南平野第二公園,岩槻区,南平野3丁目5,街区,0.2,35.95596441666667,139.7147667861111
1905001,埼玉スタジアム２００２公園,緑区,大字中野田、玄蕃新田、高畑、南部領辻、大崎地内,運動,30.4,35.90309,139.71559
1901082,美園１丁目第二公園,緑区,美園１丁目27,街区,0.21,35.90809,139.71631
2002003,慈恩寺親水公園,岩槻区,大字小溝459-1,近隣,3.3,35.97944,139.71646
2001003,こばと児童公園,岩槻区,東岩槻６丁目7,街区,0.24,35.96162744166667,139.71648451666667
2001036,南平野第三公園,岩槻区,南平野3丁目30,街区,0.15,35.95095717777778,139.71680163611111
2031011,八幡神社こども広場,岩槻区,大字笹久保８１０－１,子供,0.04,35.92311,139.71748
2002005,南平野公園,岩槻区,南平野2丁目26,近隣,2.58,35.9557,139.71824
2001038,南平野第五公園,岩槻区,南平野2丁目5,街区,0.24,35.958519486111115,139.71930444444445
2021009,南平野緑地,岩槻区,南平野4丁目16,都緑,0.03,35.95198,139.71961
2001037,南平野第四公園,岩槻区,南平野5丁目3,街区,0.21,35.95004434444445,139.71985059166667
2001014,東都住宅児童公園,岩槻区,大字徳力579-23,街区,0.04,35.96915,139.72015
2001053,南平野第六公園,岩槻区,南平野2丁目33,街区,0.03,35.95774,139.72049
1901067,間宮ふれあい公園,緑区,大字間宮703,街区,0.61,35.88562,139.72065
1941008,明照寺児童遊園,緑区,中野田字島ノ前1669,民間,0.08,35.89527,139.72075
2004002,岩槻文化公園,岩槻区,大字村国229,総合,12.16,35.944539,139.721724
2001012,ドリームパーク,岩槻区,大字小溝26-184,街区,0.07,35.97602486388889,139.72292434444444
1921006,下野田緑地,緑区,大字下野田地内,都緑,0.97,35.89233,139.72348
2001017,堀割公園,岩槻区,大字小溝921-312,街区,0.04,35.982853633333335,139.72356513055556
1901081,美園西口ふれあい公園,緑区,浦和東部第一特定土地区画整理事業９３街区,街区,0.19,35.89207,139.72391
2031021,村国久伊豆神社こども広場,岩槻区,大字村国６０６,子供,0.03,35.94155,139.72403
1902007,美園台公園,緑区,浦和東部第一特定土地区画整理事業地内,近隣,0.99,35.89529,139.72435
2001013,バス公園,岩槻区,大字小溝97-154,街区,0.06,35.97729145833333,139.72445572777778
2001026,ニコニコ公園,岩槻区,大字小溝2-5,街区,0.02,35.97198,139.72468
2021008,元荒川緑地多目的広場,岩槻区,大字村国229,都緑,0.84,35.94325,139.72475
2001015,三角公園,岩槻区,大字小溝163-2,街区,0.09,35.97977668055556,139.7248488638889
1901084,美園３丁目第二公園,緑区,美園３丁目２１,街区,0.26,35.897089825,139.72570953888888
1921008,美園３丁目緑地,緑区,美園３丁目22,都緑,0.05,35.897703066666665,139.7257760611111
1901085,大門上中央公園,緑区,大門上・下野田特定土地区画整理事業49街区,街区,0.75,35.88816,139.72598
2031028,尾ヶ崎こども広場,岩槻区,大字尾ヶ崎１８２５,子供,0.01,35.91715,139.72609
2021001,元荒川緑地,岩槻区,大字村国地内,都緑,,35.94301,139.72615
2002004,和土住宅公園,岩槻区,大字黒谷636-1,近隣,1.2,35.92592,139.72701
1901095,大門上みなみ公園,緑区,大門上・下野田特定土地区画整理事業７２街区,街区,0.17,35.8837722569418,139.727197803904
2001061,美園東３丁目公園,岩槻区,美園東3丁目17,街区,0.16,35.90579542222222,139.72827824722222
2003001,川通公園,岩槻区,大字長宮825-5,地区,4.39,35.95216,139.728309
1901071,氷川下子供広場,緑区,大字間宮158-2,街区,0.03,35.880806325,139.7284820361111
1921012,美園５丁目第三緑地,緑区,美園5丁目53,都緑,0.12,35.89191,139.72881
1901083,美園３丁目第一公園,緑区,美園３丁目4,街区,0.14,35.89968069444444,139.72977554722223
2001064,美園東２丁目第一公園,岩槻区,美園東２丁目4,街区,0.18,35.90091763333333,139.72981259722224
1901035,大門東裏公園,緑区,大字大門2881-20,街区,0.01,35.884918569444444,139.73031844166667
2001062,美園東２丁目第三公園,岩槻区,美園東2丁目42,街区,0.17,35.90379,139.73044
1921011,美園５丁目第二緑地,緑区,美園5丁目52,都緑,0.12,35.88896,139.73121
1902006,浦和美園４丁目公園,緑区,美園4丁目4,近隣,1.3,35.89622428888889,139.7319470388889
1921010,美園６丁目第二緑地,緑区,美園６丁目33,都緑,0.01,35.88801,139.73202
1901070,美園６丁目第二公園,緑区,美園6丁目31,街区,0.25,35.88791741944444,139.73244399166666
2001065,美園東２丁目第二公園,岩槻区,美園東２丁目29,街区,0.18,35.90171526111111,139.73250303611113
1901078,美園５丁目第二公園,緑区,美園5丁目42,街区,0.17,35.893744777777776,139.73364866666665
1901088,大門第一公園,緑区,大字大門2966番13,街区,0.03,35.88349,139.73378
2021007,元荒川右岸川辺,岩槻区,大字末田2878-1,都緑,0.17,35.92936641944444,139.734520025
1901089,大門南行谷公園,緑区,大字大門1285番外,街区,0.2,35.88124,139.73515
1901076,美園６丁目第一公園,緑区,美園6丁目17,街区,0.23,35.88548253333333,139.73537791388887
1921009,美園５丁目第一緑地,緑区,美園５丁目4,都緑,0.06,35.89403,139.73566
1921003,大門１丁目緑地,緑区,大門１丁目4-2,都緑,0.34,35.88361,139.73572
2001063,美園東１丁目公園,岩槻区,美園東１丁目24-1,街区,0.2,35.900114377777776,139.73586571666667
1921007,美園６丁目第一緑地,緑区,美園6丁目4,都緑,0.06,35.888955027777776,139.7359173861111
1901069,美園５丁目第一公園,緑区,美園5丁目27,街区,0.17,35.89130844722222,139.7363897
2021010,美園東１丁目緑地,岩槻区,美園東１丁目9-1外,都緑,0.02,35.89807906944444,139.73642985555554
2021003,つきのきの広場,岩槻区,大字新方須賀1172-1,都緑,0.44,35.92935,139.73662
2021004,かわかぜの木陰,岩槻区,大字末田無地番,都緑,0.22,35.92754,139.73695
1901039,大門坂下公園,緑区,東大門１丁目9,街区,0.28,35.882424730555556,139.73738116388887
2031013,稲荷神社こども広場,岩槻区,大字高曽根９４０－１，２,子供,0.03,35.92043,139.73767
2001055,釣上新田第一公園,岩槻区,大字釣上新田1504-12,街区,0.06,35.89808017222222,139.7380329222222
2021006,元荒川左岸川辺,岩槻区,大字新方須賀無地番,都緑,0.23,35.92869,139.7382
2031012,野孫神社こども広場,岩槻区,大字野孫６２３,子供,0.02,35.91325,139.73827
2031025,香取大明神こども広場,岩槻区,大字大口２５１,子供,0.05,35.94097916944444,139.7393013
1901016,外町西公園,緑区,東大門２丁目12,街区,0.21,35.88311722777778,139.73943110833332
2031031,"新方須賀香取神社
こども広場",岩槻区,大字新方須賀５４０－１,子供,0.02,35.93170863333333,139.73970515833332
2021005,みずおとの小道,岩槻区,大字新方須賀1036-3,都緑,0.15,35.93016,139.7401
2001046,大口公園,岩槻区,大字大口367-2,街区,0.02,35.943784674999996,139.74060990555554
2031017,鷲宮神社こども広場,岩槻区,大字末田１９６５－１,子供,0.02,35.92516,139.74183
1901019,外町東公園,緑区,東大門３丁目10,街区,0.27,35.88456203888889,139.74195360555555
1922002,伝右川右岸緑地,緑区,東大門３丁目無地番,緑道,0.06,35.88325,139.74431
2031004,神明神社こども広場,岩槻区,大字釣上２１９－１,子供,0.03,35.89651265277778,139.74622080833333
2006001,しらこばと公園,岩槻区,大字末田地内他,広域,22.9,35.91287,139.74661
2031024,大森公民館こども広場,岩槻区,大字大森１５１,子供,0.01,35.928842833333334,139.7467785833333
